source,dimension,n,mean,sd,median,min,max
Human (OASIS),valence,900,4.331249062270062,1.2275828303850735,4.51960784313725,1.1078431372549,6.49019607843137
claude-sonnet-4.6,valence,800,4.25375,1.765150314290556,4.5,1.0,7.0
gemma-4-31b-it,valence,800,4.19,1.812596723930755,4.0,1.0,7.0
gpt-5.4,valence,800,3.98875,1.8152802788035975,4.0,1.0,7.0
qwen3.6-plus,valence,780,4.2384615384615385,1.6948332546403664,5.0,1.0,7.0
grok-4.20,valence,800,4.45125,1.9678577228859566,4.0,1.0,7.0
All LLMs (pooled),valence,3980,4.2243718592964825,1.8190743242780405,4.0,1.0,7.0
Human (OASIS),arousal,900,3.6680984592225423,0.837788633448426,3.725463808516775,1.69306930693069,5.72277227722772
claude-sonnet-4.6,arousal,800,4.38875,1.6396597337719774,5.0,1.0,7.0
gemma-4-31b-it,arousal,800,3.8525,1.8934691129252685,3.0,1.0,7.0
gpt-5.4,arousal,800,4.2025,1.808475041982012,4.0,1.0,7.0
qwen3.6-plus,arousal,780,3.8346153846153848,1.9253279015246867,4.0,1.0,7.0
grok-4.20,arousal,800,4.4425,1.8216315975235968,4.0,1.0,7.0
All LLMs (pooled),arousal,3980,4.1457286432160805,1.837141410366252,4.0,1.0,7.0
