image_id,claude-sonnet-4.6,gemma-4-31b-it,gpt-5.4,qwen3.6-plus,grok-4.20,LLM_mean,Human_mean,Category
Animal carcass 2,6.0,6.0,6.0,5.95,5.9,5.970000000000001,4.02970297029703,Animal
Bark 5,1.95,1.1,1.1,1.7,2.0,1.57,2.05825242718447,Object
Bear 1,2.0,1.0,1.0,1.0,1.15,1.23,3.33653846153846,Animal
Bloody knife 1,7.0,7.0,7.0,6.55,6.35,6.779999999999999,4.54455445544554,Object
Camping 3,3.0,2.8,3.0,2.4,3.25,2.89,2.98076923076923,Person
Car crash 1,6.0,6.0,6.0,5.95,6.05,6.0,4.55445544554455,Scene
Cat 1,3.0,2.85,3.1,4.85,3.9,3.54,3.84158415841584,Animal
Chipmunk 1,2.05,2.0,2.0,2.0,2.9,2.1900000000000004,3.27722772277228,Animal
Cold 1,4.05,3.0,3.3,2.55,3.1,3.1999999999999997,3.47572815533981,Object
Crow 1,3.0,2.05,3.0,2.2,3.0,2.65,2.8019801980198,Animal
Dog attack 3,6.0,7.0,7.0,6.0,6.9,6.58,5.08910891089109,Animal
Eating 3,3.0,3.0,3.1,3.4,4.65,3.4299999999999997,2.625,Person
Flowers 6,4.0,3.0,4.0,3.65,4.45,3.8200000000000003,3.00961538461538,Object
Galaxy 2,5.0,4.55,5.0,5.25,6.0,5.16,4.4368932038835,Scene
Gazing 5,4.0,3.1,3.4,2.65,5.45,3.72,3.30769230769231,Person
Gun 1,6.0,6.0,6.0,6.0,6.1,6.0200000000000005,4.01941747572816,Object
Hangover 1,3.0,2.0,2.65,1.1,1.9,2.13,3.3495145631068,Person
Jail 4,4.95,3.3,4.8,2.0,2.8,3.5700000000000003,3.43269230769231,Scene
Lightning 2,7.0,7.0,7.0,6.65,7.0,6.93,4.62135922330097,Scene
Lion 1,5.0,3.9,4.15,2.7,5.85,4.32,4.33980582524272,Animal
Monkey 2,3.0,2.0,3.0,2.0,3.0,2.6,3.72277227722772,Animal
Neutral pose 2,2.0,1.95,2.0,1.75,2.0,1.94,3.66336633663366,Scene
Nude couple 3,5.0,4.8,5.0,4.95,5.65,5.08,4.5049504950495,Person
Nude man 9,4.0,2.35,3.0,2.1,3.45,2.9799999999999995,3.5,Person
Nude woman 10,6.0,4.8,5.1,,5.95,5.4625,5.17307692307692,Person
Ornament 1,3.0,3.0,2.25,4.6,4.0,3.37,2.88118811881188,Object
Parachuting 4,7.0,6.85,7.0,6.45,7.0,6.859999999999999,5.20792079207921,Person
Parasailing 2,6.0,6.0,5.0,4.9,6.0,5.58,4.3495145631068,Person
Plane crash 3,5.0,3.2,5.0,4.5,3.95,4.33,4.12871287128713,Scene
Police 5,6.0,5.9,6.0,6.0,5.75,5.93,4.03960396039604,Person
Sailing 3,3.0,2.2,3.0,2.15,3.55,2.78,3.62376237623762,Scene
Satellite 1,4.4,3.55,4.85,4.1,4.0,4.18,3.83168316831683,Object
Shark 1,5.65,5.0,6.0,5.4,6.55,5.72,4.11538461538461,Animal
Skijump 1,5.0,4.45,4.6,3.9,6.0,4.79,3.99009900990099,Scene
Snow 2,2.0,1.0,1.0,1.1,1.75,1.3699999999999999,2.25742574257426,Scene
Soldiers 4,5.0,4.45,5.0,5.5,4.05,4.8,4.28712871287129,Scene
Sun 1,6.95,6.95,7.0,6.65,6.95,6.9,4.50485436893204,Object
Toilet 1,1.55,1.0,1.7,1.05,1.15,1.2899999999999998,2.35643564356436,Object
Wedding 8,3.0,2.7,3.0,2.2,2.25,2.63,3.86138613861386,Object
Wolf 2,6.0,5.3,6.0,5.7,6.0,5.8,4.67326732673267,Animal
