image_id,claude-sonnet-4.6,gemma-4-31b-it,gpt-5.4,qwen3.6-plus,grok-4.20,LLM_mean,Human_mean,Category
Animal carcass 2,2.0,2.0,1.0,1.95,2.05,1.8,3.25490196078431,Animal
Bark 5,4.0,4.0,4.0,4.0,3.9,3.9799999999999995,4.1980198019802,Object
Bear 1,6.0,5.4,5.0,5.5,6.0,5.58,5.14814814814815,Animal
Bloody knife 1,1.0,1.0,1.0,1.0,1.0,1.0,1.84313725490196,Object
Camping 3,5.05,5.2,5.0,5.6,6.0,5.37,5.01851851851852,Person
Car crash 1,1.6,1.0,1.0,1.45,1.0,1.21,1.85294117647059,Scene
Cat 1,6.0,5.8,5.2,5.75,5.95,5.74,5.42156862745098,Animal
Chipmunk 1,6.0,6.0,6.0,5.85,6.2,6.01,5.41176470588235,Animal
Cold 1,4.0,4.0,4.0,3.85,3.0,3.7700000000000005,3.99009900990099,Object
Crow 1,4.0,4.0,4.0,4.05,4.0,4.01,4.70588235294118,Animal
Dog attack 3,2.0,2.0,2.0,4.45,3.95,2.88,2.64705882352941,Animal
Eating 3,6.0,5.9,4.85,5.95,6.5,5.84,5.14814814814815,Person
Flowers 6,7.0,7.0,6.75,6.4,7.0,6.83,5.94444444444444,Object
Galaxy 2,6.0,6.0,6.0,6.05,7.0,6.21,5.77227722772277,Scene
Gazing 5,6.35,6.0,5.9,6.0,7.0,6.25,5.44444444444444,Person
Gun 1,2.0,1.05,1.2,1.85,1.95,1.6099999999999999,2.73267326732673,Object
Hangover 1,2.0,1.95,1.65,1.95,1.95,1.9,2.41584158415842,Person
Jail 4,2.0,1.0,1.1,1.8,2.0,1.5799999999999998,2.11111111111111,Scene
Lightning 2,3.0,2.85,2.3,2.95,3.0,2.8199999999999994,4.25742574257426,Scene
Lion 1,5.0,5.15,5.0,4.9,5.9,5.19,5.01980198019802,Animal
Monkey 2,3.4,3.15,3.4,3.0,2.95,3.1799999999999997,4.02941176470588,Animal
Neutral pose 2,6.0,6.0,6.0,5.9,6.0,5.9799999999999995,5.25490196078431,Scene
Nude couple 3,6.0,6.55,6.7,6.25,6.8,6.459999999999999,5.45098039215686,Person
Nude man 9,3.0,3.0,3.0,2.7,2.95,2.9299999999999997,3.39814814814815,Person
Nude woman 10,5.4,4.0,4.95,,5.9,5.0625,5.0462962962963,Person
Ornament 1,6.0,6.0,6.0,6.0,6.0,6.0,5.24509803921569,Object
Parachuting 4,5.0,5.95,5.0,5.55,6.15,5.529999999999999,4.80392156862745,Person
Parasailing 2,6.0,6.0,5.95,5.95,6.3,6.04,5.12871287128713,Person
Plane crash 3,2.0,2.0,2.0,1.95,1.0,1.7899999999999998,2.23529411764706,Scene
Police 5,2.0,2.0,2.3,2.0,2.0,2.06,2.43137254901961,Person
Sailing 3,6.3,6.0,6.0,6.0,7.0,6.26,5.45098039215686,Scene
Satellite 1,6.0,6.0,5.0,5.1,6.0,5.62,5.06862745098039,Object
Shark 1,3.0,3.95,2.4,2.95,2.55,2.97,3.75925925925926,Animal
Skijump 1,3.15,4.0,4.0,4.05,3.55,3.75,4.5,Scene
Snow 2,5.0,4.0,4.9,5.25,4.25,4.68,4.54901960784314,Scene
Soldiers 4,5.0,4.0,4.0,4.55,4.3,4.37,4.66666666666667,Scene
Sun 1,4.0,4.0,3.0,4.5,6.0,4.3,4.41584158415842,Object
Toilet 1,3.25,4.0,3.55,3.5,4.0,3.66,3.80392156862745,Object
Wedding 8,6.65,6.8,6.45,6.0,6.05,6.39,5.62745098039216,Object
Wolf 2,2.0,2.9,2.0,2.8,2.95,2.53,3.08823529411765,Animal
